Chapter Number,Chapter Title,Hadith Number,arabic_text,english_text,source,commentary,references,source_pdf,page_start,page_end
1,CAUSES REQUIRING PURIFICATION,1,"مَا أَحْبَرَنِي بِهِ الشَّيْخُ أَيَّدَهُ آَللَّهُ تَعَالَى عَنْ أَحْمَدَ بْنِ مُحَمَّدٍ عَنْ أَبِيهِ عَنِ ٱلْحُسَيْنِ بْنِ ٱلْحَسَنِ بْنِ أَبَانٍ عَنِ الْحُسَيْنِ
بْنِ سَعِيدٍ عَنْ عُثَمَانَ بْنِ عِيسَى عَنْ سَمَاعَةَ قَالَ: سَأَلْتُ أُبَا عَبْدِ اللّهِ عَلَيْهِ السَّلاَمُ عَنِ ٱلرَّجُلِ يَنَامُ وَ هَوَ سَاجِدٌ قَالَ
«يَنْصَرِفُ وَ يَتَوَضَّأ» .","Narrated to me by Shaykh (Al-Mufid), may Allah {SWT} support him, from Ahmad bin Muhammad, from his
father, from Al-Husayn bin Al-Hasan bin Aban, from Al-Husayn bin Sa‘id, from ‘Uthman bin ‘Isa, from
Sama‘ah, who said:
I asked Abu Abdullah {a.s} about a man who sleeps while he is in a state of prostration
(sujood).
Imam {a.s} said: ""He should get up, leave, and perform ablution (wudu’).""",Abu Abdillah Imam Ja’far ibn Muhammad al-Sadiq {a.s},,"Tahdib Al-Ahkam, V.1 p.6 • Al-Ibtisar, V.1 p.79 • Al-Wafi, V.6 p.254 • Wasail Al-Shia, V.1 p.253",tahdib-al-ahkam-vol.1.pdf,17,17
1,CAUSES REQUIRING PURIFICATION,2,"وَ بِهَذَا الْإِسْنَادٍ عَنِ ٱلْحُسَيْنِ بْنِ سَعِيدِ عَنْ حَمَّادٍ عَنْ عُمَرَ بْنِ أُدَيْنَةَ وَ حَرِيزٍ عَنْ زُرَارَةَ عَنْ أَحَدِهِمَا عَلَيْهِمَا ٱلسَلَامُ
قَالَ: «لا يَنْقُضُ ٱلْوُضُوءَ إِلاَّ مَا خَرَجَ مِنْ طَرَفَيْكَ أَوِ النَّوْمُ» .","And through the same chain of transmission, from Al-Husayn bin Sa‘id, from Hammad, from ‘Umar bin
Udhaynah and Hariz, from Zurara, from one of the Imams {a.s}, who said:
""Ablution (wudu’) is not nullified except by what exits from your two private parts or by
sleep.""",Abu Ja’far Imam Muhammad ibn Ali al-Baqir {a.s} & Abu Abdillah Imam Ja’far ibn Muhammad al- Sadiq {a.s},,"Tahdib Al-Ahkam, V.1 p.6 • Al-Ibtisar, V.1 p.79 • Al-Wafi, V.6 p.254 • Wasail Al-Shia, V.1 p.248 • Wasail Al-Shia, V.1 p.252 • Al-Fusul Al-Muhimmah, V.2 p.15",tahdib-al-ahkam-vol.1.pdf,18,18
1,CAUSES REQUIRING PURIFICATION,3,"وَ أَخْبَرَنِي الشَّيْخُ أَيَّدَهُ اللَّهُ عَنْ أَحْمَدَ بْنِ مُحَمِّدِ بْنِ الْحَسَنِ بْنِ الْوَلِيدِ عَنْ أَبِيهِ عَنْ مُحَمَّدِ بْنِ يَحْيِى الْعَطَّارِ وَ أَحْمَدَ
بْنِ إذْرِيسَ عَنْ مُحَمَّدِ بْنِ أَحْمَدَ بْنِ يَحْيَى عَنْ عِمْرَانَ بْنِ مُوسَى عَنِ الْحَسَنِ بْنِ عَلِيَّ بْنِ النُّعْمَانِ عَنْ أَبِيهِ عَنْ عَبْدِ
الْحَمِيد بْنِ عَوَّاضِ [غَوْاضٍ] عَنْ أَبِي عَبْدِ اللَّهِ عَلَيْهِ السَّلامُ قَالَ سَمِعْتُهُ يَقُولُ: «مَنْ نَامَ وَ هُوَ رَاكِعْ أَوْ سَاجِدْ أَوْ
مَاشٍ عَلَى أَيَّ الْحَالاتِ فَعَلَيْهِ ٱلْوُضُوءُ».","The Shaykh (Al-Mufid), may Allah {SWT} support him, narrated to me, from Ahmad bin Muhammad bin Al-
Hasan bin Al-Walid, from his father, from Muhammad bin Yahya Al-‘Attar, and Ahmad bin Idris, from
Muhammad bin Ahmad bin Yahya, from ‘Imran bin Musa, from Al-Hasan bin ‘Ali bin Al-Nu‘man, from his
father, from ‘Abdul-Hamid bin ‘Awad (or Ghawwad, according to another narration), from Abu Abdullah {a.s},
who said:
I heard Imam {a.s} say:
""Whoever sleeps while bowing (in ruku‘), prostrating (in sujood), or walking, in any of
these states, then he must perform ablution (wudu’).""",Abu Abdillah Imam Ja’far ibn Muhammad al-Sadiq {a.s},,"Tahdib Al-Ahkam, V.1 p.6 • Al-Ibtisar, V.1 p.79 • Awali Al-La’ali, V.2 p.178 • Al-Wafi, V.6 p.254 • Wasail Al-Shia, V.1 p.253 • Al-Fusul Al-Muhimmah, V.2 p.18",tahdib-al-ahkam-vol.1.pdf,18,18
1,CAUSES REQUIRING PURIFICATION,4,"وَ أَخْبَرَنِي الشَّيْخُ أَيَّدَهُ اللَّهُ عَنْ أَبِي الْقَاسِمِ جَعْفَرِ بْنِ مُحَمَّدٍ عَنْ أَبِيهِ عَنْ سَعْدِ بْنِ عَبْدِ اللَّهِ عَنْ أَحْمَدَ بْنِ مُحَمَّدِ بْنِ
عِيسَى عَنْ مُحَمَّدِ بْنِ عُبَيْدِ اللَّهِ وَ عَبْدِ اللَّهِ بْنِ الْمُغِيرَةِ قَالاَ: سَألْنَا الرِّضَا عَلَيْهِ ٱَلسَّلاَمُ عَنِ الرَّجُلِ يَنَامُ عَلَى دَابَّتِهِ
فَقَالَ «إِذَا ذَهَبَ اَلنَّوْمُ بِالْعَقْلِ فَلْيُعِدِ الْوُضُوءَ» .","The Shaykh (Al-Mufid), may Allah {SWT} support him, narrated to me, from Abu Al-Qasim Ja‘far bin
Muhammad, from his father, from Sa‘d bin Abdullah, from Ahmad bin Muhammad bin ‘Isa, from
Muhammad bin ‘Ubaydullah and Abdullah bin Al-Mughirah, who both said:
We asked Imam Al-Ridha {a.s} about a man who sleeps while (seated) on his mount.
Imam {a.s} said: ""If sleep overtakes his intellect, then he must repeat the ablution
(wudu’).""",Abu al-Hasan Imam Ali ibn Musa al-Ridha {a.s},,"Tahdib Al-Ahkam, V.1 p.6 • Al-Ibtisar, V.1 p.79 • Al-Wafi, V.6 p.255 • Wasail Al-Shia, V.1 p.252",tahdib-al-ahkam-vol.1.pdf,19,19
1,CAUSES REQUIRING PURIFICATION,5,"وَ بِهَذَا الْإِسْنَادٍ عَنْ أَحْمَدَ بْنِ مُحَمَّدِ بْنِ عِيسَى عَنْ مُحَمَّدِ بْنِ أَبِي عُمَيْرٍ عَنْ إسْحَاقَ بْنِ عَبْدِ آللّهِ الْأَشعَرِيَّ عَنْ أَبِي
عَبْدِ اللَّهِ عَلَيْهِ السِّلاَمُ قَالَ: «لا يَنْقُضُ ٱلْوُضُوءَ إِلاَّ حَدَثْ وَ النَّوْمُ حَدَثُ» .","And with this chain of narration, from Ahmad bin Muhammad bin Isa, from Muhammad bin Abi Umayr, from
Ishaq bin Abdullah al-Ash'ari, from Abu Abdullah {a.s}, who said:
""Wudu is not nullified except by an occurrence (hadath), and sleep is an occurrence.""",Abu Abdillah Imam Ja’far ibn Muhammad al-Sadiq {a.s},,"Tahdib Al-Ahkam, V.1 p.6 • Al-Ibtisar, V.1 p.79 • Awali Al-La’ali, V.2 p.179 • Al-Wafi, V.6 p.255 • Wasail Al-Shia, V.1 p.253 • Al-Fusul Al-Muhimmah, V.2 p.15",tahdib-al-ahkam-vol.1.pdf,19,19
1,CAUSES REQUIRING PURIFICATION,6,"فَأَمَا الْخَبَرُ الَّذِي رَوَاهُ مُحَمَّدُ بْنُ أَحْمَدَ بْنِ يَحْيَى عَنِ الْعَبَّاسِ عَنْ أَبِي شُعَيْبِ عَنْ عِمْرَانَ بْنِ حُمْرَانَ أَنَّهُ سَمِعَ عَبْداً
صَالِحاً يَقُولُ: «مَنْ نَامَ وَ هُوَ جَالِسٌ لاَ يَتَعَمَّدُ ٱلنَّوْمَ فَلاَ وُضُوء عَلَيْهِ» .","As for the narration that was reported by Muhammad bin Ahmad bin Yahya, from al-Abbas, from Abu
Shuayb, from Imran bin Humran, that he heard the righteous servant of Allah {SWT} say:
""Whoever sleeps while sitting, without intending to sleep, then wudu is not required
for him.""",Abu al-Hasan Imam Musa ibn Ja’far al-Kadhim {a.s},,"Tahdib Al-Ahkam, V.1 p.7 • Al-Ibtisar, V.1 p.80 • Al-Wafi, V.6 p.256 • Wasail Al-Shia, V.1 p.256",tahdib-al-ahkam-vol.1.pdf,19,19
1,CAUSES REQUIRING PURIFICATION,7,"وَ الْخَبَرُ الّذِي رَوَاهُ سَعْدُ بْنُ عَبْدِ اللّهِ عَنْ أَحْمَدَ بْنِ مُحَمَّدٍ عَنْ عَلِيّ بْنِ ٱلْحَكَمِ عَنْ سَيْفِ بْنِ عَمِيرَةَ عَنْ بَكْرِ بْنِ أَبِي
بَكْرٍ الْحَضْرَمِيّ قَالَ: سَأَلْتُ أَبَا عَبْدِ اللّهِ عَلَيْهِ السَّلَاَمُ هَلْ يَنَامُ الرَجُلُ وَ هَوَ جَالِسٌ فَقَالَ «كَانَ أَبِي يَقُولُ «إِذَا نَامَ
الرَّجُلُ وَ هُوَ جَالِسٌ مُجْتَمِعْ فَلَيْسَ عَلَيْهِ وُضُوءُ وَ إِذَا نَامَ مُضطَجِعاً فَعَلَيْهِ الْوُضُوءُ» » .","And the narration that Sa‘d bin Abdullah reported from Ahmad bin Muhammad, from ‘Ali bin Al-Hakam, from
Saif bin ‘Amirah, from Bakr bin Abi Bakr Al-Hadhrami, who said:
I asked Abu Abdullah {a.s}: ""Can a man sleep while sitting?""
Imam {a.s} said: ""My father, (Imam Al Baqir {a.s}) used to say,
'If a man sleeps while sitting upright and gathered (not reclining), then he does not
need to perform ablution (wudu’).
But if he sleeps while lying down, then he must perform ablution (wudu’).'""",Abu Ja’far Imam Muhammad ibn Ali al-Baqir {a.s} & Abu Abdillah Imam Ja’far ibn Muhammad al- Sadiq {a.s},,"Tahdib Al-Ahkam, V.1 p.7 • Al-Ibtisar, V.1 p.80 • Al-Wafi, V.6 p.256 • Wasail Al-Shia, V.1 p.256",tahdib-al-ahkam-vol.1.pdf,20,20
1,CAUSES REQUIRING PURIFICATION,8,"وَ الَّذِي يَدُلُ عَلَى هَذَا التَأْوِيلِ مَا أَخْبَرَنِي بِهِ الشَّيْخُ أَيَّدَهُ اللّهُ عَنْ أَحْمَدَ بْنِ مُحَمِّدِ بْنِ الْحَسَنِ عَنْ أَبِيهِ عَنْ مُحَمِّدِ
بْنِ الْحَسَنِ الصِّفَّارِ عَنْ أَحْمَدَ بْنِ مُحَمَّدِ بْنِ عِيسَى وَ عَنِ الْحُسَيْنِ بْنِ الْحَسَنِ بْنِ أَبَانٍ جَمِيعاً عَنِ الْحُسَيْنِ بْنِ سَعِيدِ
عَنْ مُحَمَّدِ بْنِ الْفُضَيْلِ عَنْ أَبِي الصَّبَّاحِ الْكِنَانِيَّ عَنْ أَبِي عَبْدِ اللّهِ عَلَيْهِ السَّلاَمُ قَالَ: سَأَلْتُهُ عَنِ الرَّجُلِ يَخْفِقُ وَ هُوَ
فِي الصَّلاَةٍ فَقَالَ «إِنْ كَانَ لاَ يَحْفَظُ حَدَثاً مِنْهُ إِنْ كَانَ فَعَلَيْهِ ٱلْوُضُوءُ وَ إِعَادَةُ الصَّلاَةِ وَ إِنْ كَانَ يَسْتَيْقِنُ أَنَّهُ لَمْ
يُحْدِثْ فَلَيْسَ عَلَيْهِ وُضُوءٌ وَ لاَ إِعَادَةٌ» .","And what indicates this interpretation is what the Shaykh (Al-Mufid), may Allah {SWT} support him, narrated to
me, from Ahmad bin Muhammad bin Al-Hasan, from his father, from Muhammad bin Al-Hasan Al-Saffar,
from Ahmad bin Muhammad bin ‘Isa, and from Al-Husayn bin Al-Hasan bin Aban, all of them from Al-Husayn
bin Sa‘id, from Muhammad bin Al-Fudhayl, from Abu Al-Sabbah Al-Kinani, from Abu Abdullah {a.s}, who said:
I asked Imam {a.s} about a man who dozes off while in prayer.
Imam {a.s} said: ""If he does not retain awareness of whether he has nullified his state of
purity, then he must perform ablution (wudu’) and repeat the prayer.
But if he is certain that he did not nullify his state of purity, then there is no need for
him to perform ablution (wudu’) or repeat the prayer.""",Abu Abdillah Imam Ja’far ibn Muhammad al-Sadiq {a.s},,"Tahdib Al-Ahkam, V.1 p.7 • Al-Ibtisar, V.1 p.80 • Al-Wafi, V.6 p.256 • Wasail Al-Shia, V.1 p.253",tahdib-al-ahkam-vol.1.pdf,20,20
1,CAUSES REQUIRING PURIFICATION,9,"وَ بِهَذَا الْإِسْنَادٍ عَنِ الْحُسَيْنِ بْنِ سَعِيدِ عَنِ اِبْنِ أَبِي عُمَيْرٍ عَنِ إِبْنِ أُذَيْنَةَ عَنِ اِبْنِ بُكَيْرِ قَالَ: قُلْتُ لأَبِي عَبْدِ اللَّهِ عَلَيْهِ
السَّلاَمُ قَوْلُهُ تَعَالَى «إِذا قُمْتُمْ إلَى الصَّلاةِ» مَا يَعْنِي بِذَلِكَ إِذَا قُمْتُمْ إلَى الصَّلاَةِ قَالَ «إِذَا قُمْتُمْ مِنَ النَّوْمِ» قُلْتُ
يَنْقُضُ النَّوْمُ الْوُضُوءَ فَقَالَ «نَعَمْ إِذَا كَانَ يَغْلِبُ عَلَى السَّمْعِ وَ لا يَسْمَعُ الصَّوْتَ» .","And through the same chain of transmission, from Al-Husayn bin Sa‘id, from Ibn Abi ‘Umayr, from Ibn
Udhaynah, from Ibn Bukayr, who said:
I said to Abu Abdullah {a.s}: ""The saying of Allah {SWT}, the Exalted: 'When you stand for
prayer' (Surah Al-Ma'idah 5:6) - what does this mean?""
Imam {a.s} said: ""It means when you rise from sleep.""
I asked: ""Does sleep nullify ablution (wudu’)?""
Imam {a.s} said: ""Yes, if it overcomes the hearing, such that one does not hear sound.""",Abu Abdillah Imam Ja’far ibn Muhammad al-Sadiq {a.s},,"Tahdib Al-Ahkam, V.1 p.7 • Al-Ibtisar, V.1 p.80 • Al-Wafi, V.6 p.257 • Wasail Al-Shia, V.1 p.253 • Tafsir Al-Burhan, V.2 p.255",tahdib-al-ahkam-vol.1.pdf,21,21
1,CAUSES REQUIRING PURIFICATION,10,"وَ بِهَذَا الْإِسْنَادِ عَنِ الْحُسَيْنِ بْنِ سَعِيدٍ عَنْ فَضَالَةَ عَنْ حُسَيْنِ بْنِ عُثْمَانَ عَنْ عَبْدِ ٱلرَّحْمَنِ بْنِ الْحَجَاجِ عَنْ زَيْدِ
الشَّحَامٍ قَالَ: سَأَلْتُ أَبَا عَبْدِ اللّهِ عَلَيْهِ السَّلَامُ عَنِ الْخَفْقَةِ وَ الْخَفْقَتَيْنِ فَقَالَ «مَا أَدْرِي مَا الْخَفْقَةِ وَ الْخَفْقَتَيْنِ إِنَّ
اللّهَ تَعَالَى يَقُولُ «بَلِ الْإِنْسَانُ عَلىٰ نَفْسِهِ بَصِيرَةُ» إِنَّ عَلِياً عَلَيْهِ السَّلاَمُ كَانَ يَقُولُ «مَنْ وَجَدَ طَعْمَ ٱلنَّوْمِ فَإِنَّمَا
أُوجِبَ عَلَيْهِ الْوُضُوءُ» » .","And through the same chain of transmission, from Al-Husayn bin Sa‘id, from Fadalah, from Husayn bin
‘Uthman, from ‘Abdul-Rahman bin Al-Hajjaj, from Zayd Al-Shahham, who said:
I asked Abu Abdullah {a.s} about a light doze or two.
Imam {a.s} said, ""I do not know what is meant by a ‘light doze or two’.
Allah {SWT}, the Exalted, says: 'But man, against himself, will be a witness' (Surah Al-
Qiyamah 75:14).
And Imam Ali {a.s} used to say, 'Whoever feels the sensation of sleep, then ablution
(wudu’) is obligatory upon him.'""",Abu Abdillah Imam Ja’far ibn Muhammad al-Sadiq {a.s} & Commander of the Faithful Imam Ali ibn Abi Talib al-Murtadha {a.s},,"Tahdib Al-Ahkam, V.1 p.8 • Al-Ibtisar, V.1 p.80 •Fiqh Al-Quran, V.1 p.66 • Wasail Al-Shia, V.1 p.254",tahdib-al-ahkam-vol.1.pdf,21,21
