Chapter Number,Chapter Title,Hadith Number,arabic_text,english_text,commentary,references,source_pdf,page_start,page_end
1,WATER; ITS PURITY AND IMPURITY,1,"باب - المياه, وطهرها ونجاستها
قال الشيخ السعيد الفقيه أبو جعفر محمد بن علي بن الحسين بن موسى بن بابويه القمي مصنف هذا الكتاب رحمة اللّٰه
عليه: إن الله تبارك وتعالى يقول: ""• وَأَنزَلْنَا مِنَ ٱلسَّمَآءِ مَاءً طَهُورًا (.
ويقول عز وجل: "" وَأَنزَلْنَا مِنَ ٱلسَّمَآءِ مَآءُ بِقَدَرُ فَأْسْكَنَّٰهُ فِى ٱلْأَرْضِ* وَإِنّا عَلَىٰ ذَهَابِ بِهِ. لَقَدِرُونَ )
ويقول عز وجل: "" وَيُنَزِّلُ عَلَيْكُم مَنَ ٱلسَّمَآءِ مَاءً لَيُطَهّرَكُم بِهِ )
فأصل الماء كله من السماء وهو طهور كله، وماء البحر طهور، وماء البئر طهور.
وَقَالَ الصَادِقُ جَعْفَرُ بْنُ مُحَمَّدٍ عَلَيْهِ ٱلسَلامُ: «كُلُّ مَاءِ طَاهِرْ إِلاَّ مَا عَلِمْتَ أَنّهُ قَذِرٌ.","Imam Jafar ibn Muhammad Al-Sadiq {a.s} said:
""All water is pure except for that which you know to be impure.""",,"Man La Yahduruhu Al-Faqih, Vol. 1 • Wasa’il Al-Shi’a, vol. 1, p. 133 • Al-Fusul al-Muhimmah, Part 2, p. 7",man-la-yahduruhu-al-faqih-vol.1.pdf,18,18
1,WATER; ITS PURITY AND IMPURITY,2,"وَقَالَ عَلَيْهِ ٱلسَّلاَمُ: «اَلْمَاءُ يُطَهِّرُ وَ لاَ يُطَهَّرُ.
فمتى وجدت ماء ولم تعلم فيه نجاسة فتوضاً منه واشرب، وإن وجدت فيه ما ينجسه فلا تتوضاً منه ولا تشرب إلا في
حال الاضطرار فتشرب منه ولا تتوضا منه وتيمم إلا أن يكون الماء كرا فلا بأس بأن تتوضا منه وتشرب، وقع فيه شئ أو
لم يقع، ما لم يتغير ريح الماء، فإن تغير فلا تشربه ولا تتوض منه. والكر ما يكون ثلاثة أشبار طولا، في عرض ثلاثة أشبار،
في عمق ثلاثة أشبار. وبالوزن ألف ومائتا رطل بالمدني","Imam Jafar ibn Muhammad Al-Sadiq {a.s} said:
""Water purifies, but is not purified itself”.","So when you find water and are unsure of its impurity, you may perform ablution from
it and drink. However, if you find something (within it) that contaminates it, do not
perform ablution or drink from it unless in a state of necessity.
In that case, you may drink from it but not perform ablution, but instead perform
Tayammum unless the water is abundant, in which case it is permissible to both
perform ablution and drink from it - regardless if something has fallen into it or not, as
long as the smell of the water has not changed.
If it has changed, do not drink from it or perform ablution with it.
Measure of one Kurr is three spans long, three spans wide, and three spans deep. It is
weighing one thousand two hundred Ratl in Madina terms.","Man La Yahduruhu Al-Faqih, Vol. 1 • Al Mahasin, Part 2, p. 570 • Al-Kafi, Volume 3, p. 1 • Al- Ash'athiyat, Part 1, p. 11 • Tahdhib Al-Ahkam, Part 1, p. 215 • Al-Wadar (Lil-Rawandi) Vol. 1, p. 39 • Awaali al-La’aali, Part 3, p. 21 • Al-Wafi, Vol. 6, p. 17 • Wasa’il Al-Shi’a, vol. 1, p. 133 • Wasa’il Al-Shi’a, vol. 1, p.",man-la-yahduruhu-al-faqih-vol.1.pdf,19,19
1,WATER; ITS PURITY AND IMPURITY,3,"وَقَالَ الصَّادِقُ عَلَيْهِ السَّلَاَمُ: «إِذَا كَانَ ٱلْمَاءُ قَدْرَ قُلْتَيْنِ لَمْ يُنَجِّسْهُ شَيْءُ وَ الْقُلْتَانِ جَرَّتَانٍ.
ولا بأس بالوضوء والغسل من الجنابة والاستياك بماء الورد والماء الذي تسخنه الشمس لا تتوضأ به، ولا تغتسل به من
الجنابة، ولا تعجن به لأنه يورث البرص. ولا بأس بأن يتوضأ الرجل بالماء الحميم الحار. ولا يفسد الماء إلا ما كانت له نفس
سائلة. وكل ما وقع في الماء مما ليس له دم فلا بأس باستعماله والوضوء منه مات فيه أو لم يمت. فإن كان معك إناءان
فوقع في أحدهما ما ينجس الماء ولم تعلم في أيهما وقع فأهرقهما جميعا وتيمم. ولو أن ميزابين سالا: ميزاب بول وميزاب
ماء فاختلطا ثم أصاب ثوبك منه لم يكن به بأس.","Imam Jafar ibn Muhammad Al-Sadiq {a.s}, said:
""If the water is the amount of two qullas, nothing can make it impure, and two qullas
are (equal to) two jars”.","There is no harm in performing ablution, washing after major impurity (ghusl), or using
rose water for cleansing. However, do not use water heated by the sun for ablution,
washing after major impurity, or kneading dough, as it is said to cause leprosy. There
is no harm in performing ablution with hot water. Water is only corrupted (rendered
impure) by substances that have a flowing soul (i.e., those that bleed). Any object that
falls into water and does not have blood may still be used for ablution and other uses,
regardless of whether it died in the water or not.
If you have two containers and something that makes water impure falls into one of
them, but you do not know which, pour out both and perform tayammum (dry
ablution). If water from two drainpipes flows down, one with urine and the other with
pure water, and they mix and get on your clothes, there is no harm.","Man La Yahduruhu Al-Faqih, Vol. 1 • Al-Istibsar, Part 1, p. 7 • Al-Wafi, Vol. 6, p. 33 • Wasa’il Al-Shi’a, vol. 1, p. 166",man-la-yahduruhu-al-faqih-vol.1.pdf,19,20
1,WATER; ITS PURITY AND IMPURITY,4,"وَ سَأَلَ هِشَامُ بْنُ سَالِمِ أَبَا عَبْدِ اللّهِ عَلَيْهِ السَّلَاَمُ: عَنِ السَّطْحِ يُبَالُ عَلَيْهِ فَتُصِيبُهُ السَّمَاءُ فَيَكِفُ فَيُصِيبُ التَّوْبَ
فَقَالَ «لا بَأْسَ بِهِ مَا أَصَابَهُ مِنَ ٱلْمَاءِ أَكْثَرُ مِنْهُ.","Hisham ibn Salim asked Imam Jafar ibn Muhammad Al-Sadiq {a.s} about a man
urinating on a roof, then rain falls on it causing water to drip onto clothes.
Imam {a.s} said: ""There is no harm in it as long as the water that hits it is more than the
urine”.",,"Man La Yahduruhu Al-Faqih, Vol. 1",man-la-yahduruhu-al-faqih-vol.1.pdf,20,20
1,WATER; ITS PURITY AND IMPURITY,5,- وَ سُئِلَ عَلَيْهِ السَّلَاَمُ: عَنْ طِينِ الْمَطَرِ يُصِيبُ التَّوْبَ فِيهِ الْبَوْلُ وَ الْعَذِرَةُ وَ الدَّمُ فَقَالَ «طِينُ الْمَطَرِ لاَ يُنَجَّسُ.,"Imam Jafar ibn Muhammad Al-Sadiq {a.s} was asked about rain-soaked mud that
gets on clothes, which may contain urine, feces, and blood.
Imam {a.s} said: ""Rain-soaked mud does not make (the clothes) impure”.",,"Man La Yahduruhu Al-Faqih, Vol. 1 • Al-Wafi, Vol. 6, p. 47",man-la-yahduruhu-al-faqih-vol.1.pdf,20,20
1,WATER; ITS PURITY AND IMPURITY,6,"وَ سَأَلَ عَلِيْ بْنُ جَعْفَرٍ أَخَاهُ مُوسَى بْنَ جَعْفَرٍ عَلَيْهِ السِّلاَمُ: عَنِ الْبَيْتِ يُبَالُ عَلَى ظَهِرِهِ وَ يُفْتَسَلُ مِنَ الْجَنَابَةِ
ثُمَّ يُصِيبُهُ الْمَطَرُ أَ يُوخَذُ مِنْ مَائِهِ فَيُتَوَضّاً بِهِ لِلصَّلاَةِ فَقَالَ «إِذَا جَرَى فَلاَ بَأْسَ بِهِ.","Ali ibn Ja'far asked his brother, Imam Al-Kadhim {a.s} about a roof where people
urinate and perform ritual washing after major impurity (ghusl), and then it rains.
He asked: ""Can the water that flows from it be used for ablution (wudu) for prayer?""
Imam {a.s} said: ""If it flows, there is no harm in it.""",,"Man La Yahduruhu Al-Faqih, Vol. 1 • Qurb al-Isnad, Part 1, p. 177 • Bihar Al-Anwar, Vol. 77, p.",man-la-yahduruhu-al-faqih-vol.1.pdf,20,20
1,WATER; ITS PURITY AND IMPURITY,7,"وَ سَأَلَهُ عَنِ الرَّجُلِ يَمُرْ فِي مَاءِ الْمَطَرِ وَ قَدْ صُبَّ فِيهِ خَمْرٌ فَأَصَابَ ثَوْبَهُ هَلْ يُصَلِّي فِيهِ قَبْلَ أَنْ يَغْسِلَهُ فَقَالَ
«لاَ يَغْسِلُ ثَوْبَهُ وَ لاَ رِجْلَهُ وَ يُصَلِّي فِيهِ وَ لَاَ بَأْسَ بِهِ.","Ali ibn Ja'far asked Imam Musa ibn Jafar Al-Kadhim {a.s} was asked about a man
who walks through rainwater into which wine has been poured in and it gets on his
clothes. Should he wash it before praying in those clothes?
Imam {a.s} said: ""He does not need to wash his clothes or his feet, and he may pray in
them, and there is no harm in it.""",,"Man La Yahduruhu Al-Faqih, Vol. 1 • Qurb al-Isnad, Part 1, p. 191 • Bihar Al-Anwar, Vol. 77, p.",man-la-yahduruhu-al-faqih-vol.1.pdf,21,21
1,WATER; ITS PURITY AND IMPURITY,8,- وَ سَأَلَ عَمَّارْ السَابَاطِيْ أَبَا عَبْدِ اللّهِ عَلَيْهِ السِّلامُ عَنِ الْقَيْءِ يُصِيبُ الثَّوْبَ فَلاَ يُغْسَلُ فَقَالَ « لا بَأْسَ بِهِ.,"Ammar al-Sabati asked Imam Jafar ibn Muhammad Al-Sadiq {a.s} about vomit that
gets on clothing and is not washed off.
Imam {a.s} said: ""There is no harm in it.""",,"Man La Yahduruhu Al-Faqih, Vol. 1 • Tahdhib Al-Ahkam, Part 1, p. 423 • Al-Wafi, Vol. 6, p. 235",man-la-yahduruhu-al-faqih-vol.1.pdf,21,21
1,WATER; ITS PURITY AND IMPURITY,9,- وقَالَ رَسُولُ اللّهِ صَلَّى اللّهُ عَلَيْهِ وَ آلِهِ: «كُلُّ شَيْءٍ يَجْتَرُّ فَسُوْرُهُ حَلاَلْ وَ لُعَابُهُ حَلاَلْ.,"The Messenger of Allah {saws}, said:
""Everything that chews the cud - its leftover water and saliva are permissible.""",,"Man La Yahduruhu Al-Faqih, Vol. 1 • Tahdhib Al-Ahkam, Part 1, p. 228 • Al-Wafi, Vol. 6, p. 75 • Wasa’il Al-Shi’a, vol. 1, p. 232 • Wasa’il Al-Shi’a, vol. 3, p. 414",man-la-yahduruhu-al-faqih-vol.1.pdf,21,21
1,WATER; ITS PURITY AND IMPURITY,10,"وأَتَى أَهْلُ الْبَادِيَةِ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَ آلِهِ فَقَالُوا يَا رَسُولَ اللَّهِ إِنَّ حِيَاضَنَا هَذِهِ تَرِدُهَا السِّبَاعُ وَ
الْكِلاَبُ وَ الْبَهَائِمُ فَقَالَ لَهُمْ صَلَّى اللهُ عَلَيْهِ وَ آلِهِ «لَهَا مَا أَخَذَتْ أَفْوَاهُهَا وَ لَكُمْ سَائِرُ ذَلِكَ.
وإن شرب من الماء دابة أو حمار أو بغل أو شاة أو بقرة أو بعير فلا بأس باستعماله والوضوء منه. فإن وقع
وزغ في إناء فيه ماء أهريق ذلك الماء. وإن ولغ فيه كلب أو شرب منه أهريق الماء وغسل الإناء ثلاث مرات:
مرة بالتراب ومرتين بالماء ثم يجفف. وأما الماء الآجن فيجب التنزه عنه إلا أن يكون لا يوجد غيره. ولا بأس
بالوضوء بماء يشرب منه السنور، ولا بأس بشربه.","The people of the desert came to the Messenger of Allah {saws} and said:
""O’ Messenger of Allah {saws}, our water reservoirs are frequented by wild animals, dogs,
and livestock.""
He {saws} said: ""What they take with their mouths is for them, and rest is for you”.","If a beast, donkey, mule, sheep, cow, or camel drinks from water, there is no harm in
using it and performing ablution with it. However, if a lizard falls into a vessel of water,
the water should be poured out. If a dog licks the vessel or drinks from it, the water
should be poured out, and the vessel washed three times: once with earth and twice
with water, then dried.
As for stagnant water with an unpleasant odor, it is best to avoid it, unless no other
water is available. There is no harm in performing ablution with water from which a cat
has drunk, and there is no harm in drinking it.","Man La Yahduruhu Al-Faqih, Vol. 1 • Tahdhib Al-Ahkam, Part 1, p. 414 • Al-Wafi, Vol. 6, p. 28 • Wasa’il Al-Shi’a, vol. 1, p. 161",man-la-yahduruhu-al-faqih-vol.1.pdf,22,22
1,WATER; ITS PURITY AND IMPURITY,11,"وقَالَ الصَادِقُ عَلَيْهِ ٱلسَّلاَمُ: «إِنَّي لاَ أَمْتَنعُ مِنْ طَعَامِ طَعِمَ مِنْهُ السِّنَّوْرُ وَ لاَ مِنْ شَرَابٍ شَرِبَ مِنْهُ.
ولا يجوز الوضوء بسؤر اليهودي والنصراني وولد الزنا والمشرك وكل من خالف الاسلام، وأشد من ذلك سؤر
الناصب، وماء الحمام سبيله سبيل الماء الجاري إذا كانت له مادة.","Imam Jafar ibn Muhammad Al-Sadiq {a.s} said:
""I do not refrain from food that a cat has tasted, nor from drink that it has sipped.""","It is not permissible to perform ablution with the leftover water of a Jew, a Christian,
someone born out of wedlock, a polytheist, or anyone who opposes Islam. Even more
prohibited is the leftover water of a nasibi (one hostile to the family of the Prophet).
The water of a public bath is treated like flowing water if it has a continuous source.","Man La Yahduruhu Al-Faqih, Vol. 1 • Wasa’il Al-Shi’a, vol. 1, p. 228",man-la-yahduruhu-al-faqih-vol.1.pdf,22,22
1,WATER; ITS PURITY AND IMPURITY,12,"وَقَالَ الصَّادِقُ عَلَيْهِ السَّلاَمُ: فِي الْمَاءِ الْذِي تَبُولُ فِيهِ الدَّوَابُ وَ تَلَغُ فِيهِ الْكِلاَبُ وَ يَعْتَسِلُ فِيهِ الْجُنُبُ «إِنَّهُ
إِذَا كَانَ قَدْرَ كُرِّ لَمْ يُنَجِّسْهُ شَيْءٌ.","Imam Jafar ibn Muhammad Al-Sadiq {a.s} said: ""Regarding water into which
animals urinate, dogs drink, or someone performs ghusl (ritual washing after major
impurity): ""If it reaches the amount of a kurr (a specific measure), then nothing can
make it impure”.",,"Man La Yahduruhu Al-Faqih, Vol. 1",man-la-yahduruhu-al-faqih-vol.1.pdf,22,22
1,WATER; ITS PURITY AND IMPURITY,13,"وَقَالَ الصَّادِقُ عَلَيْهِ السَّلاَمُ: «كَانَ بَنُو إِسْرَائِيلَ إِذَا أَصَابَ أَحَدَهُمْ قَطْرَةُ بَوْلِ قَرَضُوا لُحُومَهُمْ بِالْمَقَارِيضِ وَ
قَدْ وَسَّعَ اللّهُ عَزَّ وَ جَلَّ عَلَيْكُمْ بِأَوْسَعِ مَا بَيْنَ ٱلسَّمَاءِ وَ الْأَرْضِ وَ جَعَلَ لَكُمُ ٱلْمَاءَ طَهُوراً فَانْظُرُوا كَيْفَ تَكُونُونَ.
فإن دخلت حية في حب ماء وخرجت منه صب من الماء ثلاث أكف، و استعمل الباقي، وقليله وكثيره بمنزلة واحدة. ولا
بأس بأن يستقى الماء بحبل أتخذ من شعر الخنزير.","Imam Jafar ibn Muhammad Al-Sadiq {a.s} said:
""The Children of Israel, if a drop of urine touched them, they would cut away the
affected flesh with scissors. But Allah {SWT}, Mighty and Exalted, has granted you vast
leniency - wider than the space between the heavens and the earth - and has made
water purifying for you. So, consider how you conduct yourselves (at removing
impurities)”.","If a snake enters a water container and then exits, pour out three handfuls of the water
and use the rest; a small or large amount of water is treated the same.
There is also no harm in drawing water with a rope made from pig hair.","Man La Yahduruhu Al-Faqih, Vol. 1 • Tahdhib Al-Ahkam, Part 1, p. 356 • Al-Wafi, Vol. 6, p. 16 • Wasa’il Al-Shi’a, vol. 1, p. 133",man-la-yahduruhu-al-faqih-vol.1.pdf,23,23
1,WATER; ITS PURITY AND IMPURITY,14,- وَسُئِلَ الصَّادِقُ عَلَيْهِ السَّلَامُ عَنْ جِلْدِ الْخِنْزِيرِ يُجْعَلُ دَلْوا يُسْتَقَى بِهِ الْمَاءُ فَقَالَ « لا بَأْسَ بِهِ.,"Imam Jafar ibn Muhammad Al-Sadiq {a.s} was asked about the use of pig skin to
make a bucket for drawing water.
Imam {a.s} said: ""There is no harm in it”.",,"Man La Yahduruhu Al-Faqih, Vol. 1",man-la-yahduruhu-al-faqih-vol.1.pdf,23,23
1,WATER; ITS PURITY AND IMPURITY,15,"وَ سُئِلَ الصَّادِقُ عَلَيْهِ السَّلاَمُ عَنْ جُلُودِ ٱلْمَيْتَةِ يُجْعَلُ فِيهَا اللَّبَنُ وَ ٱلْمَاءُ وَ السَّمْنُ مَا تَرَى فِيهِ فَقَالَ «لا بَأْسَ
بِأَنْ تَجْعَلَ فِيهَا مَا شِئتَ مِنْ مَاءٍ أَوْ لَبَنِ أَوْ سَمْنٍ وَ تَتَوَضَّأً مِنْهُ وَ تَشرَبَ وَ لَكِنْ لا تُصَلَّ فِيهَا.
لا بأس بالوضوء بفضل الجنب والحائض ما لم يوجد غيره، وإن توضأ رجل من الماء المتغير أو اغتسل أو غسل ثوبه فعليه
إعادة الوضوء والغسل والصلاة وغسل الثوب وكل آنية صب فيها ذلك الماء. فإن دخل رجل الحمام ولم يكن عنده ما يغرف
به ويداه قذرتان ضرب يده في الماء وقال: بسم اللّٰه وهذا مما قال اللّٰه عز وجل:
ب' كُمْ وَمَا جَعَلَ عَلَيْكُمْ فِي الدِّيْنِ مِنْ حَرَجُ""
وكذلك الجنب إذا انتهى إلى الماء القليل فالطريق ولم يكن معه إناء يغرف به ويداه قذرتان يفعل مثل ذلك","Imam Jafar ibn Muhammad Al-Sadiq {a.s} was asked about the skins of dead
animals used to hold milk, water, or clarified butter.
Imam {a.s} said: ""There is no harm in putting whatever you like in them - water, milk, or
clarified butter - and using it for ablution and drinking. However, do not pray in it (i.e.,
in clothes made from it)”.","It is permissible to perform ablution with the leftover water of someone in a state of
major impurity (junub) or a menstruating woman, if no other water is available. If a man
performs ablution or washing with impure water or washes his clothes with it, he must
repeat the ablution, washing, prayer, and the washing of the clothes, as well as any
vessel into which the water was poured. If someone enters a public bath without a
clean scoop and his hands are impure, he may dip his hand in the water while saying,
""In the name of Allah {SWT}.""
This aligns with what Allah {SWT}, the Mighty and Exalted, says: ""And He has not placed
upon you in the religion any hardship"" (Surah Al Hajj 22:78).
Similarly, if a person in a state of major impurity (junub) reaches a small amount of
water on the road without a clean container to draw it and has impure hands, he
should do the same.","Man La Yahduruhu Al-Faqih, Vol. 1 • Al-Wafi, Vol. 19, p. 104 • Wasa’il Al-Shi’a, vol. 3, p. 463",man-la-yahduruhu-al-faqih-vol.1.pdf,24,24
